propertyId,title,description,propertyType,rentalPrice,address,bedrooms,bathrooms,propertyImages,status
property_1,hsao020678k11ga,A beautiful Villa located in a prime area. ID: ryjnn.,Apartment,3599,"957 Oak Ave, Riverside",4,1,url/img_ub7jb.jpg,Rented
property_2,vs9mjl7zdurrcfq,A beautiful House located in a prime area. ID: an8xo.,House,2236,"161 Main St, Riverside",3,3,url/img_m9c4u.jpg,Maintenance
property_3,gvt18qntthi1r03,A beautiful Villa located in a prime area. ID: a2dz2.,Villa,4724,"822 Elm Rd, Metroville",1,2,url/img_hs2gc.jpg,Rented
property_4,kpxtuc3tw3pvlux,A beautiful House located in a prime area. ID: s6p9n.,House,3729,"289 Main St, Springfield",1,1,url/img_9bzo7.jpg,Available
property_5,u4pbtwnxyqbuk6z,A beautiful Condo located in a prime area. ID: mcbj8.,House,2552,"301 Main St, Northport",1,2,url/img_88fpe.jpg,Rented
property_6,xpkvnrlgkuy4bta,A beautiful Villa located in a prime area. ID: 9hgf6.,House,4367,"490 Oak Ave, Metroville",2,1,url/img_lhqvo.jpg,Rented
property_7,m1yl23752wua0ej,A beautiful Apartment located in a prime area. ID: fn4va.,Condo,3394,"394 Oak Ave, Riverside",4,1,url/img_vpomo.jpg,Maintenance
property_8,it941jcvmjnxkze,A beautiful Condo located in a prime area. ID: 7lddw.,Apartment,1739,"423 Maple Ct, Metroville",4,3,url/img_lha6w.jpg,Rented
property_9,qople93w0xeqi4u,A beautiful House located in a prime area. ID: a8twi.,House,3903,"528 Maple Ct, Metroville",4,2,url/img_j5bgt.jpg,Rented
property_10,er7kffhrl8g2nwd,A beautiful Villa located in a prime area. ID: q4faj.,Villa,4149,"935 Main St, Northport",1,3,url/img_wfm7r.jpg,Available
property_11,xtt0w9jdiz8ctox,A beautiful Villa located in a prime area. ID: nmmnp.,Villa,4262,"942 Elm Rd, Northport",3,1,url/img_6uiz9.jpg,Maintenance
property_12,cvg9ia8vbis7raf,A beautiful Apartment located in a prime area. ID: dwxc9.,Villa,2471,"708 Pine Ln, Metroville",3,3,url/img_gd482.jpg,Rented
property_13,snfx2ru1215cmxs,A beautiful Apartment located in a prime area. ID: 6prms.,Apartment,3107,"367 Main St, Northport",2,3,url/img_mpy6f.jpg,Available
property_14,to12292wcxxkgx7,A beautiful Villa located in a prime area. ID: wvkj8.,House,1443,"986 Elm Rd, Metroville",5,2,url/img_q7tpm.jpg,Rented
property_15,lr67p6ofcqvpz6m,A beautiful Condo located in a prime area. ID: tz0yr.,Apartment,4181,"679 Oak Ave, Springfield",1,3,url/img_kgjhe.jpg,Available
property_16,o9e1ri2vhv48zga,A beautiful Condo located in a prime area. ID: 2p6ue.,House,4481,"192 Elm Rd, Metroville",1,1,url/img_0f28p.jpg,Maintenance
property_17,i62puhoys6nvz7b,A beautiful Villa located in a prime area. ID: 61eol.,Apartment,2622,"507 Elm Rd, Metroville",3,3,url/img_tgz0e.jpg,Rented
property_18,pnawuv9iqmffdcg,A beautiful Villa located in a prime area. ID: sd688.,Villa,1802,"947 Elm Rd, Springfield",5,3,url/img_cgu3w.jpg,Available
property_19,gv3svdnwvj8nsj7,A beautiful House located in a prime area. ID: 4dihv.,House,3395,"228 Pine Ln, Riverside",1,2,url/img_swp0v.jpg,Maintenance
property_20,pi5ny8flfp4wtmz,A beautiful House located in a prime area. ID: 8wfql.,Condo,2561,"553 Oak Ave, Northport",2,1,url/img_m4ukg.jpg,Maintenance
property_21,jtf5llqqn9l8kcz,A beautiful Villa located in a prime area. ID: 4tptz.,Condo,1508,"249 Elm Rd, Springfield",3,3,url/img_5gns9.jpg,Rented
property_22,x05hp7rlpdmfvgx,A beautiful Apartment located in a prime area. ID: wmjn6.,Condo,2756,"705 Main St, Springfield",4,1,url/img_k2cqp.jpg,Rented
property_23,owqbh07iw8b5c5z,A beautiful Apartment located in a prime area. ID: 8oalf.,Condo,4018,"382 Oak Ave, Riverside",4,1,url/img_4bzpx.jpg,Rented
property_24,akdh8ad8zrd0p3z,A beautiful Villa located in a prime area. ID: zd4oj.,Condo,2727,"786 Maple Ct, Riverside",5,1,url/img_5nvek.jpg,Rented
property_25,nd979mqmpdzuwfp,A beautiful Condo located in a prime area. ID: wnroe.,Apartment,3425,"907 Maple Ct, Springfield",5,2,url/img_s4xzo.jpg,Maintenance
property_26,e8qwshsylrgnzac,A beautiful House located in a prime area. ID: 27zdl.,Villa,1752,"791 Pine Ln, Metroville",1,1,url/img_9fv1j.jpg,Maintenance
property_27,56hcizjrmvj57p5,A beautiful Villa located in a prime area. ID: 7c1q3.,House,3047,"523 Pine Ln, Springfield",4,2,url/img_mb5yp.jpg,Rented
